dataset	method	from	to	weight	from_name	to_name	asso_est	asso_type	edge_betw	name_from_sorted	name_to_sorted	edge_name
ST115_FMBN_ps	sparcc	4	8	0.8231638786871563	Loigolactobacillus	Streptococcus	0.9374579723980585	copres	1.25	Loigolactobacillus	Streptococcus	Loigolactobacillus--Streptococcus
ST115_FMBN_ps	sparcc	5	8	1	Paucilactobacillus	Streptococcus	1	copres	1.25	Paucilactobacillus	Streptococcus	Paucilactobacillus--Streptococcus
ST115_FMBN_ps	sparcc	6	8	0.6311945200942393	Secundilactobacillus	Streptococcus	0.7279650359829631	copres	1.25	Secundilactobacillus	Streptococcus	Secundilactobacillus--Streptococcus
ST115_FMBN_ps	sparcc	7	8	1	Staphylococcus	Streptococcus	1	copres	1	Staphylococcus	Streptococcus	Staphylococcus--Streptococcus
ST115_FMBN_ps	ccrepe	1	3	0.154452949952818	Lactobacillus complex	Lactococcus	-0.4298996276869835	mut_ex	6	Lactobacillus complex	Lactococcus	Lactobacillus complex--Lactococcus
ST115_FMBN_ps	ccrepe	2	3	0.09575305001833112	Lactobacillus	Lactococcus	-0.6353250931023016	mut_ex	2	Lactobacillus	Lactococcus	Lactobacillus--Lactococcus
ST115_FMBN_ps	ccrepe	4	6	0.7994918972568208	Loigolactobacillus	Secundilactobacillus	0.9195930014686614	copres	2	Loigolactobacillus	Secundilactobacillus	Loigolactobacillus--Secundilactobacillus
ST115_FMBN_ps	ccrepe	5	6	0.48118642043561444	Paucilactobacillus	Secundilactobacillus	0.4616649393191778	copres	6	Paucilactobacillus	Secundilactobacillus	Paucilactobacillus--Secundilactobacillus
ST115_FMBN_ps	ccrepe	2	8	0.6007740863900689	Lactobacillus	Streptococcus	0.6812373398046316	copres	4	Lactobacillus	Streptococcus	Lactobacillus--Streptococcus
ST115_FMBN_ps	ccrepe	3	8	0.049475806231103925	Lactococcus	Streptococcus	-0.8069924858800199	mut_ex	8	Lactococcus	Streptococcus	Lactococcus--Streptococcus
ST115_FMBN_ps	ccrepe	4	8	0.10141720108493513	Loigolactobacillus	Streptococcus	-0.6149020930120637	mut_ex	4	Loigolactobacillus	Streptococcus	Loigolactobacillus--Streptococcus
ST115_FMBN_ps	ccrepe	6	8	0.10148743750533196	Secundilactobacillus	Streptococcus	-0.6146496499214695	mut_ex	8	Secundilactobacillus	Streptococcus	Secundilactobacillus--Streptococcus
